-2.858763398135945e-18	-7.936313327833023e-19	2.8366331705801776e-18	6.400288648436087e-18	9.622634479551115e-18	1.2681637568659191e-17	1.5916873793285914e-17	1.9726128429903528e-17	2.3685764172827104e-17	2.8051327911081867e-17	3.2964249677164593e-17	3.814674051191097e-17	4.343604897444756e-17	4.8796879650260804e-17	5.418581246208585e-17	5.957634394284171e-17	6.521783419296548e-17	7.117173553328126e-17	7.730368191696576e-17	8.370961976107148e-17	9.039910242456752e-17	9.687384422482922e-17	1.0322302361055184e-16	1.0899345015083037e-16	1.1392843728043641e-16	1.1775941079970136e-16	1.2088391331286795e-16	1.2533301828968246e-16	1.4079759697777633e-16	2.0840583425734224e-16	4.845130150560278e-16	1.502404911316363e-15	4.881232774778347e-15	1.498118308655159e-14	4.214568284915488e-14	1.0778436370576437e-13	2.4997630215599037e-13	5.253191749434927e-13	9.999457716138455e-13	1.7237506898883485e-12	2.6906663873203146e-12	3.802663297405875e-12	4.865429676264086e-12	5.635439432336823e-12	5.908531625636901e-12	5.607274431395751e-12	4.816400748467527e-12	3.7443164194382996e-12	2.6344156488890095e-12	1.6774226302804912e-12	9.6657036112123e-13	5.0401677316262e-13	2.378295447963994e-13	1.0155114832618384e-13	3.923627527766196e-14	1.3716464518695546e-14	4.337502519567223e-15	1.239390782812338e-15	3.181520931867959e-16	7.081633308641136e-17	1.0630772715942767e-17	-1.7962675701042647e-18	-2.855357253825965e-18	-1.511521231677539e-18	-9.382443211559508e-19
-1.0618280884645284e-18	5.0974464262874025e-18	1.2371434448960659e-17	1.9104837239534245e-17	2.5945814358507054e-17	3.3371303552307014e-17	4.1516721373676663e-17	5.035774684816891e-17	5.970315121688069e-17	6.970090483649903e-17	8.005846474315554e-17	9.027214973408085e-17	9.995207905739681e-17	1.0917936159067476e-16	1.1855019951648488e-16	1.2872153127550217e-16	1.4009782029906155e-16	1.527986887076399e-16	1.6688285043181607e-16	1.8185214217305935e-16	1.9709411489029286e-16	2.1193128857285338e-16	2.2560161156152533e-16	2.3749011820677033e-16	2.472310606643132e-16	2.556180338661329e-16	2.6569765564847737e-16	2.93196110968249e-16	4.0996765579654023e-16	9.19869435549569e-16	2.973089417601741e-15	1.0469174016876294e-14	3.519061058799277e-14	1.0872409943081783e-13	3.0569380469933837e-13	7.799771430526054e-13	1.8042394745922229e-12	3.782146477215491e-12	7.1829836248003084e-12	1.2357038901220607e-11	1.925320569889456e-11	2.7165440059343077e-11	3.470633512904693e-11	4.014562752323844e-11	4.204064269371114e-11	3.985386105847173e-11	3.419900467756975e-11	2.6562797881149455e-11	1.8673665422739222e-11	1.1881229463995147e-11	6.841513131214721e-12	3.5652247860515267e-12	1.6813286594410484e-12	7.175270503077214e-13	2.770991783770501e-13	9.683623470421033e-14	3.062267418181856e-14	8.762547430867762e-15	2.267702470137239e-15	5.272910031207341e-16	1.0344438746521966e-16	1.0242514509598324e-17	-4.820808524745855e-18	-3.4231384896940785e-18	-1.310979454418961e-18
8.121061421899715e-19	9.259286028371258e-18	1.9014335700094223e-17	2.9388052698749623e-17	4.0882598456488645e-17	5.362022623245662e-17	6.69398682428819e-17	8.099827282497487e-17	9.577171235872921e-17	1.1081625591858349e-16	1.2462053148721414e-16	1.3653035083197122e-16	1.4796758446498118e-16	1.6034928548250962e-16	1.7496023093684238e-16	1.932554095542367e-16	2.1446379072011581e-16	2.374899119087061e-16	2.622327865389842e-16	2.8692886443042455e-16	3.0964226843796856e-16	3.2942649634547337e-16	3.4564255403835855e-16	3.5864116587482607e-16	3.69700010840876e-16	3.8415865131774073e-16	4.230836729491476e-16	5.903463509925705e-16	1.3684158347951845e-15	4.782897275907656e-15	1.8468578172197405e-14	6.818934929891116e-14	2.3147216554408807e-13	7.153559321985746e-13	2.007251250573173e-12	5.108827965271674e-12	1.178903846570255e-11	2.465709130390302e-11	4.673165057730276e-11	8.024224419254305e-11	1.248092205964504e-10	1.7582490412033284e-10	2.2431095102315962e-10	2.591252847360789e-10	2.710296869341618e-10	2.566463714074329e-10	2.200048762533543e-10	1.7071821872503076e-10	1.19909224895655e-10	7.623039643123938e-11	4.3861847164893664e-11	2.284080730045322e-11	1.0764319037675568e-11	4.5909135116381754e-12	1.771896357987651e-12	6.188663161158327e-13	1.9560260659139778e-13	5.5948916240751693e-14	1.4486290485308758e-14	3.3972462019294505e-15	7.169594917911706e-16	1.261207899580788e-16	9.625432260761064e-18	-4.22710597187673e-18	-2.344771774970964e-18
1.9034608069167143e-18	1.2141699765352365e-17	2.4617030210518674e-17	3.9115845074610856e-17	5.519395432039237e-17	7.227669309678321e-17	9.017548765993172e-17	1.0902247772424554e-16	1.2786149480234915e-16	1.4405946821499985e-16	1.570933021245126e-16	1.697307241770132e-16	1.8598506132762615e-16	2.0729837816929243e-16	2.3398055843781895e-16	2.6410050766059063e-16	2.9632950756064296e-16	3.2928715329683125e-16	3.603178245448578e-16	3.871738355385811e-16	4.084606233727547e-16	4.242556908988223e-16	4.359913890814124e-16	4.468007697613869e-16	4.63544964444587e-16	5.107229610156423e-16	7.137361572544552e-16	1.7090290058228725e-15	6.446317790922206e-15	2.7225887807593452e-14	1.101468486622991e-13	4.09946137396584e-13	1.3900727461606262e-12	4.282886835461345e-12	1.1978083492831912e-11	3.0391633642383304e-11	6.993131206781354e-11	1.4588446541134033e-10	2.7583944218593203e-10	4.726282368729928e-10	7.336985398299545e-10	1.0317620901628224e-9	1.314145727987994e-9	1.5158466682504956e-9	1.5833141671440817e-9	1.4973970731841656e-9	1.2821175797616964e-9	9.93818315521315e-10	6.973414644558445e-10	4.429123441530639e-10	2.5462515679591184e-10	1.3248787745473562e-10	6.239140105186074e-11	2.6590819448439005e-11	1.0256136607111557e-11	3.579892535421958e-12	1.1307923801676287e-12	3.2323781557122513e-13	8.361985717951554e-14	1.9584057249325067e-14	4.155799503274153e-15	7.931982187569593e-16	1.2654075337153678e-16	1.193181185991174e-17	-7.566094536473843e-19
2.8902927075076796e-18	1.483997730625384e-17	3.017122916946404e-17	4.8154054714727935e-17	6.80193042166724e-17	8.891290763602721e-17	1.1088421925580729e-16	1.3264779339758487e-16	1.505454251248927e-16	1.6459318261671192e-16	1.7913437325093108e-16	2.0013643470913676e-16	2.294002407618101e-16	2.6509951801288225e-16	3.0377257504985944e-16	3.431442937219988e-16	3.8097285544894916e-16	4.142531345701345e-16	4.400292806530471e-16	4.580597929398283e-16	4.693762048479009e-16	4.771659582150517e-16	4.88483346413801e-16	5.102113426428483e-16	5.659064186636048e-16	7.826385664603334e-16	1.865722263761798e-15	7.403333738505878e-15	3.3859519772675397e-14	1.493502482338208e-13	6.073898158081763e-13	2.2538140922030016e-12	7.608279251958509e-12	2.3337778331664268e-11	6.500351192495061e-11	1.6432309086088623e-10	3.7684961835971916e-10	7.837859017249729e-10	1.4779535903174991e-9	2.5260957358766885e-9	3.912646869993373e-9	5.4908765795505175e-9	6.9805807374830005e-9	8.038180598290838e-9	8.38272825875414e-9	7.916370556751362e-9	6.769199999514962e-9	5.240605823335617e-9	3.673037589345701e-9	2.3304493024028473e-9	1.3384386051404855e-9	6.957911295411802e-10	3.273865119258776e-10	1.3942041694036203e-10	5.373535087246082e-11	1.874340059609708e-11	5.916706241846247e-12	1.6902354254158774e-12	4.3696534242579117e-13	1.022343283188993e-13	2.1654198282366636e-14	4.154371397605234e-15	7.161763347597624e-16	1.050132939068458e-16	1.1855830993653087e-17
3.938560464745679e-18	1.76219440448317e-17	3.5344536271353794e-17	5.622171114664669e-17	7.928509859798409e-17	1.0373929410594523e-16	1.2775164012712006e-16	1.4828971837400103e-16	1.6322021793413996e-16	1.7982422533786102e-16	2.0550534855283552e-16	2.423187003877225e-16	2.860204358477296e-16	3.3183151280474435e-16	3.7537816553148826e-16	4.1487621170302e-16	4.47886210742181e-16	4.714496160531794e-16	4.851351400511151e-16	4.914209097013427e-16	4.979466645714253e-16	5.137159404567462e-16	5.455329983346759e-16	6.120342636585864e-16	8.21459023674719e-16	1.843071514569705e-15	7.375534982356817e-15	3.593011953417139e-14	1.714640787142417e-13	7.581843500959512e-13	3.067140062382077e-12	1.130981479967085e-11	3.79535560222389e-11	1.157987147050117e-10	3.2099630575637613e-10	8.079699924244579e-10	1.845806417312694e-9	3.825619169312864e-9	7.191114162757532e-9	1.2255870523242782e-8	1.893377673759514e-8	2.650825773667733e-8	3.362743124790835e-8	3.864583970489896e-8	4.022954503937784e-8	3.792845886665631e-8	3.2382768418781935e-8	2.503503642839699e-8	1.7523860657427938e-8	1.1105163249268647e-8	6.370945675073908e-9	3.3085700283019903e-9	1.5552885955661993e-9	6.617521457509823e-10	2.548445654551078e-10	8.882499256426884e-11	2.8019535670028484e-11	7.999098258063267e-12	2.0666507571655538e-12	4.832091382894483e-13	1.0224844754705714e-13	1.9584775307391247e-14	3.3935267383179856e-15	5.267643729511783e-16	7.156883334812574e-17
4.994182894898169e-18	2.0302744512481095e-17	4.0115888867583354e-17	6.341958026110072e-17	8.939384748849883e-17	1.156189560380923e-16	1.3878260837060877e-16	1.5642726357432966e-16	1.7468618184844845e-16	2.0430172990146863e-16	2.467565219518185e-16	2.961175500237233e-16	3.45227757634144e-16	3.9069563028042814e-16	4.3169099219081705e-16	4.635597689796841e-16	4.842673313866357e-16	4.938833302587245e-16	4.986485572399698e-16	5.088516160739038e-16	5.338915846246295e-16	5.813704229995746e-16	6.590913920591519e-16	8.519509003591526e-16	1.7200705692235698e-15	6.567081087603094e-15	3.315579121985323e-14	1.6890337880225337e-13	8.054449328436312e-13	3.5319300047198e-12	1.4163988602433447e-11	5.1817470560269625e-11	1.7267459914426804e-10	5.23572710751758e-10	1.4433255497794913e-9	3.6149579671761865e-9	8.221613255021293e-9	1.697175807802971e-8	3.178656340470677e-8	5.399608391121204e-8	8.316826451038801e-8	1.1612371984607028e-7	1.469458479284301e-7	1.684937472624673e-7	1.750360610288672e-7	1.6471172373941664e-7	1.4038422819896246e-7	1.0835755162758832e-7	7.573613783046386e-8	4.793043679952049e-8	2.7463098466784955e-8	1.4245812450548664e-8	6.689560643355779e-9	2.8435241062016384e-9	1.09406774901199e-9	3.8101406991286014e-10	1.2009669255037143e-10	3.4261005032312756e-11	8.845780720600513e-12	2.066952449425238e-12	4.370980951871765e-13	8.365365923774581e-14	1.448754437327506e-14	2.2662395948738868e-15	3.185427989327345e-16
6.050999387404906e-18	2.2865104282235997e-17	4.469017889969697e-17	7.046399800695049e-17	9.815705644858206e-17	1.2388073664230715e-16	1.4456266301403364e-16	1.6528345519061994e-16	1.9589385687753797e-16	2.413060640900303e-16	2.9385377774485976e-16	3.454430605725183e-16	3.930981157504445e-16	4.336925481289844e-16	4.661002643766514e-16	4.855935488325592e-16	4.9457576169478415e-16	5.00970940071997e-16	5.181421035527328e-16	5.557164959566121e-16	6.187992257458936e-16	7.094136971985544e-16	8.93693995485588e-16	1.6199352458942284e-15	5.552174232496405e-15	2.7621302731836115e-14	1.4614930204600435e-13	7.39993809984028e-13	3.482923384894465e-12	1.5086349527945007e-11	5.985773120800882e-11	2.169626073236277e-10	7.171486308791605e-10	2.1589340322080193e-9	5.9136000569694706e-9	1.4726833737103246e-8	3.332230663090145e-8	6.846960272485626e-8	1.2770320035664963e-7	2.1611223144500233e-7	3.317309159334951e-7	4.6173860436630323e-7	5.826406572806363e-7	6.663527155998725e-7	6.905935089173001e-7	6.48458233978687e-7	5.515917353144183e-7	4.249837994104554e-7	2.965481476019133e-7	1.8738786392499216e-7	1.0721892557685144e-7	5.5545652597039565e-8	2.6052309926472663e-8	1.1061968250303305e-8	4.2519115260091985e-9	1.4793812583657748e-9	4.659089367026538e-10	1.328098267996448e-10	3.426517078001287e-11	8.001228211145803e-12	1.6909559234028683e-12	3.2342556599625574e-13	5.5984073403889264e-14	8.76598364876533e-15	1.2396667816978904e-15
7.089771692329308e-18	2.5332729588109795e-17	4.917977048527134e-17	7.685946126519478e-17	1.0483184638254257e-16	1.2913161069084207e-16	1.5163221542291536e-16	1.8173779524956527e-16	2.261146066227287e-16	2.804171570040855e-16	3.34476938624786e-16	3.836916683128449e-16	4.263785232522786e-16	4.594107641047592e-16	4.802346579811548e-16	4.910844139041555e-16	5.006888088026459e-16	5.255313316767578e-16	5.757430008264596e-16	6.516048632764818e-16	7.58722150456323e-16	9.63993199743754e-16	1.6638322398995337e-15	4.976160978828287e-15	2.247069319049533e-14	1.1645555329634425e-13	6.053475956079084e-13	2.9990600962768003e-12	1.3861130834375608e-11	5.915165378580715e-11	2.3177975927440636e-10	8.311569557796886e-10	2.721729770140121e-9	8.126282100368441e-9	2.2096286367600103e-8	5.466757662229367e-8	1.2297036376599994e-7	2.5134064549500604e-7	4.6654117991446183e-7	7.861197564955027e-7	1.2019662496398834e-6	1.6670792860624106e-6	2.0967896733082058e-6	2.390991930107741e-6	2.4713227522287822e-6	2.3148563401369865e-6	1.964658175055017e-6	1.5106096194955003e-6	1.0521104627097955e-6	6.636858237436982e-7	3.791490818612883e-7	1.961386123320394e-7	9.187254822199359e-8	3.896242877992892e-8	1.495944582532312e-8	5.199589390979979e-9	1.6360039168599352e-9	4.659524624646608e-10	1.20122231100375e-10	2.802943433804498e-11	5.91972429346426e-12	1.1315532443265895e-12	1.9576030437434503e-13	3.064714797368581e-14	4.339797781442573e-15
8.084249581732418e-18	2.791543877920331e-17	5.3519931419700126e-17	8.237410212025058e-17	1.0987824358057697e-16	1.3521924351143894e-16	1.6484069965094594e-16	2.0612297981770304e-16	2.5770029904824895e-16	3.1316315202484336e-16	3.6466744340046213e-16	4.1044747379203505e-16	4.463443707055051e-16	4.69007728902228e-16	4.822119832052473e-16	4.974145938593004e-16	5.309483471067823e-16	5.924204062931459e-16	6.825331534282374e-16	8.160368472392798e-16	1.0954965035515674e-15	1.9724505989402997e-15	5.37608552649752e-15	2.0459786396298172e-14	9.403765979094452e-14	4.67562001237793e-13	2.3375993605687167e-12	1.1247819809951868e-11	5.085049357164385e-11	2.1323746341397458e-10	8.235399744365276e-10	2.916969536096659e-9	9.450030168640665e-9	2.794961184017782e-8	7.53629830921308e-8	1.8505990891673786e-7	4.134868509572548e-7	8.400299965384341e-7	1.550778458933424e-6	2.6001807858218225e-6	3.95789576138723e-6	5.467214157138649e-6	6.851160086176521e-6	7.786314689283874e-6	8.023402661340552e-6	7.494563201806254e-6	6.34466920237834e-6	4.867101362273688e-6	3.3826971942380307e-6	2.1297440887831175e-6	1.2145356501803989e-6	6.27284539487717e-7	2.933921878943313e-7	1.242581766405783e-7	4.764977140905759e-8	1.6543473006461058e-8	5.1999172720273006e-9	1.4796085170758066e-9	3.811160210557179e-10	8.886060899837145e-11	1.8753701832686915e-11	3.582423316872872e-12	6.193955116890449e-13	9.692554029126652e-14	1.3725498525788404e-14
