d chi
64.00000 55.65656
62.00000 55.65656
60.00000 55.65656
58.00000 55.65656
56.00000 55.65656
54.00000 55.65656
52.00000 55.65656
50.00000 55.65656
48.00000 55.65656
46.00000 55.65656
44.00000 55.65656
42.00000 55.65656
40.00000 55.65656
38.00000 55.65662
36.00000 55.65705
34.00000 55.67645
32.00000 56.27635
30.00000 57.46836
29.89154 60.00000
29.85912 70.00000
29.85818 80.00000
29.85816 90.00000
