x y z
2.2 -3 1.771896358e-12
2.3 -3 6.188663161e-13
2.4 -3 1.956026066e-13
2.5 -3 5.594891624e-14
2.6 -3 1.448629049e-14
2.7 -3 3.397246202e-15
2.8 -3 7.169594918e-16
2.9 -3 1.2612079e-16
3 -3 9.625432261e-18
3.1 -3 0
3.2 -3 0

-3.2 -2.9 1.903460807e-18
-3.1 -2.9 1.214169977e-17
-3 -2.9 2.461703021e-17
-2.9 -2.9 3.911584507e-17
-2.8 -2.9 5.519395432e-17
-2.7 -2.9 7.22766931e-17
-2.6 -2.9 9.017548766e-17
-2.5 -2.9 1.090224777e-16
-2.4 -2.9 1.278614948e-16
-2.3 -2.9 1.440594682e-16
-2.2 -2.9 1.570933021e-16
-2.1 -2.9 1.697307242e-16
-2 -2.9 1.859850613e-16
-1.9 -2.9 2.072983782e-16
-1.8 -2.9 2.339805584e-16
-1.7 -2.9 2.641005077e-16
-1.6 -2.9 2.963295076e-16
-1.5 -2.9 3.292871533e-16
-1.4 -2.9 3.603178245e-16
-1.3 -2.9 3.871738355e-16
-1.2 -2.9 4.084606234e-16
-1.1 -2.9 4.242556909e-16
-1 -2.9 4.359913891e-16
-0.9 -2.9 4.468007698e-16
-0.8 -2.9 4.635449644e-16
-0.7 -2.9 5.10722961e-16
-0.6 -2.9 7.137361573e-16
-0.5 -2.9 1.709029006e-15
-0.4 -2.9 6.446317791e-15
-0.3 -2.9 2.722588781e-14
-0.2 -2.9 1.101468487e-13
-0.1 -2.9 4.099461374e-13
0 -2.9 1.390072746e-12
0.1 -2.9 4.282886835e-12
0.2 -2.9 1.197808349e-11
0.3 -2.9 3.039163364e-11
0.4 -2.9 6.993131207e-11
0.5 -2.9 1.458844654e-10
0.6 -2.9 2.758394422e-10
0.7 -2.9 4.726282369e-10
0.8 -2.9 7.336985398e-10
0.9 -2.9 1.03176209e-09
1 -2.9 1.314145728e-09
1.1 -2.9 1.515846668e-09
1.2 -2.9 1.583314167e-09
1.3 -2.9 1.497397073e-09
1.4 -2.9 1.28211758e-09
1.5 -2.9 9.938183155e-10
1.6 -2.9 6.973414645e-10
1.7 -2.9 4.429123442e-10
1.8 -2.9 2.546251568e-10
1.9 -2.9 1.324878775e-10
2 -2.9 6.239140105e-11
2.1 -2.9 2.659081945e-11
2.2 -2.9 1.025613661e-11
2.3 -2.9 3.579892535e-12
2.4 -2.9 1.13079238e-12
2.5 -2.9 3.232378156e-13
2.6 -2.9 8.361985718e-14
2.7 -2.9 1.958405725e-14
2.8 -2.9 4.155799503e-15
2.9 -2.9 7.931982188e-16
3 -2.9 1.265407534e-16
3.1 -2.9 1.193181186e-17
3.2 -2.9 0

-3.2 -2.8 2.890292708e-18
-3.1 -2.8 1.483997731e-17
-3 -2.8 3.017122917e-17
-2.9 -2.8 4.815405471e-17
-2.8 -2.8 6.801930422e-17
-2.7 -2.8 8.891290764e-17
-2.6 -2.8 1.108842193e-16
-2.5 -2.8 1.326477934e-16
-2.4 -2.8 1.505454251e-16
-2.3 -2.8 1.645931826e-16
-2.2 -2.8 1.791343733e-16
-2.1 -2.8 2.001364347e-16
-2 -2.8 2.294002408e-16
-1.9 -2.8 2.65099518e-16
-1.8 -2.8 3.03772575e-16
-1.7 -2.8 3.431442937e-16
-1.6 -2.8 3.809728554e-16
-1.5 -2.8 4.142531346e-16
-1.4 -2.8 4.400292807e-16
-1.3 -2.8 4.580597929e-16
-1.2 -2.8 4.693762048e-16
-1.1 -2.8 4.771659582e-16
-1 -2.8 4.884833464e-16
-0.9 -2.8 5.102113426e-16
-0.8 -2.8 5.659064187e-16
-0.7 -2.8 7.826385665e-16
-0.6 -2.8 1.865722264e-15
-0.5 -2.8 7.403333739e-15
-0.4 -2.8 3.385951977e-14
-0.3 -2.8 1.493502482e-13
-0.2 -2.8 6.073898158e-13
-0.1 -2.8 2.253814092e-12
0 -2.8 7.608279252e-12
0.1 -2.8 2.333777833e-11
0.2 -2.8 6.500351192e-11
0.3 -2.8 1.643230909e-10
0.4 -2.8 3.768496184e-10
0.5 -2.8 7.837859017e-10
0.6 -2.8 1.47795359e-09
0.7 -2.8 2.526095736e-09
0.8 -2.8 3.91264687e-09
0.9 -2.8 5.49087658e-09
1 -2.8 6.980580737e-09
1.1 -2.8 8.038180598e-09
1.2 -2.8 8.382728259e-09
1.3 -2.8 7.916370557e-09
1.4 -2.8 6.7692e-09
1.5 -2.8 5.240605823e-09
1.6 -2.8 3.673037589e-09
1.7 -2.8 2.330449302e-09
1.8 -2.8 1.338438605e-09
1.9 -2.8 6.957911295e-10
2 -2.8 3.273865119e-10
2.1 -2.8 1.394204169e-10
2.2 -2.8 5.373535087e-11
2.3 -2.8 1.87434006e-11
2.4 -2.8 5.916706242e-12
2.5 -2.8 1.690235425e-12
2.6 -2.8 4.369653424e-13
2.7 -2.8 1.022343283e-13
2.8 -2.8 2.165419828e-14
2.9 -2.8 4.154371398e-15
3 -2.8 7.161763348e-16
3.1 -2.8 1.050132939e-16
3.2 -2.8 1.185583099e-17

-3.2 -2.7 3.938560465e-18
-3.1 -2.7 1.762194404e-17
-3 -2.7 3.534453627e-17
-2.9 -2.7 5.622171115e-17
-2.8 -2.7 7.92850986e-17
-2.7 -2.7 1.037392941e-16
-2.6 -2.7 1.277516401e-16
-2.5 -2.7 1.482897184e-16
-2.4 -2.7 1.632202179e-16
-2.3 -2.7 1.798242253e-16
-2.2 -2.7 2.055053486e-16
-2.1 -2.7 2.423187004e-16
-2 -2.7 2.860204358e-16
-1.9 -2.7 3.318315128e-16
-1.8 -2.7 3.753781655e-16
-1.7 -2.7 4.148762117e-16
-1.6 -2.7 4.478862107e-16
-1.5 -2.7 4.714496161e-16
-1.4 -2.7 4.851351401e-16
-1.3 -2.7 4.914209097e-16
-1.2 -2.7 4.979466646e-16
-1.1 -2.7 5.137159405e-16
-1 -2.7 5.455329983e-16
-0.9 -2.7 6.120342637e-16
-0.8 -2.7 8.214590237e-16
-0.7 -2.7 1.843071515e-15
-0.6 -2.7 7.375534982e-15
-0.5 -2.7 3.593011953e-14
-0.4 -2.7 1.714640787e-13
-0.3 -2.7 7.581843501e-13
-0.2 -2.7 3.067140062e-12
-0.1 -2.7 1.13098148e-11
0 -2.7 3.795355602e-11
0.1 -2.7 1.157987147e-10
0.2 -2.7 3.209963058e-10
0.3 -2.7 8.079699924e-10
0.4 -2.7 1.845806417e-09
0.5 -2.7 3.825619169e-09
0.6 -2.7 7.191114163e-09
0.7 -2.7 1.225587052e-08
0.8 -2.7 1.893377674e-08
0.9 -2.7 2.650825774e-08
1 -2.7 3.362743125e-08
1.1 -2.7 3.86458397e-08
1.2 -2.7 4.022954504e-08
1.3 -2.7 3.792845887e-08
1.4 -2.7 3.238276842e-08
1.5 -2.7 2.503503643e-08
1.6 -2.7 1.752386066e-08
1.7 -2.7 1.110516325e-08
1.8 -2.7 6.370945675e-09
1.9 -2.7 3.308570028e-09
2 -2.7 1.555288596e-09
2.1 -2.7 6.617521458e-10
2.2 -2.7 2.548445655e-10
2.3 -2.7 8.882499256e-11
2.4 -2.7 2.801953567e-11
2.5 -2.7 7.999098258e-12
2.6 -2.7 2.066650757e-12
2.7 -2.7 4.832091383e-13
2.8 -2.7 1.022484475e-13
2.9 -2.7 1.958477531e-14
3 -2.7 3.393526738e-15
3.1 -2.7 5.26764373e-16
3.2 -2.7 7.156883335e-17

-3.2 -2.6 4.994182895e-18
-3.1 -2.6 2.030274451e-17
-3 -2.6 4.011588887e-17
-2.9 -2.6 6.341958026e-17
-2.8 -2.6 8.939384749e-17
-2.7 -2.6 1.15618956e-16
-2.6 -2.6 1.387826084e-16
-2.5 -2.6 1.564272636e-16
-2.4 -2.6 1.746861818e-16
-2.3 -2.6 2.043017299e-16
-2.2 -2.6 2.46756522e-16
-2.1 -2.6 2.9611755e-16
-2 -2.6 3.452277576e-16
-1.9 -2.6 3.906956303e-16
-1.8 -2.6 4.316909922e-16
-1.7 -2.6 4.63559769e-16
-1.6 -2.6 4.842673314e-16
-1.5 -2.6 4.938833303e-16
-1.4 -2.6 4.986485572e-16
-1.3 -2.6 5.088516161e-16
-1.2 -2.6 5.338915846e-16
-1.1 -2.6 5.81370423e-16
-1 -2.6 6.590913921e-16
-0.9 -2.6 8.519509004e-16
-0.8 -2.6 1.720070569e-15
-0.7 -2.6 6.567081088e-15
-0.6 -2.6 3.315579122e-14
-0.5 -2.6 1.689033788e-13
-0.4 -2.6 8.054449328e-13
-0.3 -2.6 3.531930005e-12
-0.2 -2.6 1.41639886e-11
-0.1 -2.6 5.181747056e-11
0 -2.6 1.726745991e-10
0.1 -2.6 5.235727108e-10
0.2 -2.6 1.44332555e-09
0.3 -2.6 3.614957967e-09
0.4 -2.6 8.221613255e-09
0.5 -2.6 1.697175808e-08
0.6 -2.6 3.17865634e-08
0.7 -2.6 5.399608391e-08
0.8 -2.6 8.316826451e-08
0.9 -2.6 1.161237198e-07
1 -2.6 1.469458479e-07
1.1 -2.6 1.684937473e-07
1.2 -2.6 1.75036061e-07
1.3 -2.6 1.647117237e-07
1.4 -2.6 1.403842282e-07
1.5 -2.6 1.083575516e-07
1.6 -2.6 7.573613783e-08
1.7 -2.6 4.79304368e-08
1.8 -2.6 2.746309847e-08
1.9 -2.6 1.424581245e-08
2 -2.6 6.689560643e-09
2.1 -2.6 2.843524106e-09
2.2 -2.6 1.094067749e-09
2.3 -2.6 3.810140699e-10
2.4 -2.6 1.200966926e-10
2.5 -2.6 3.426100503e-11
2.6 -2.6 8.845780721e-12
2.7 -2.6 2.066952449e-12
2.8 -2.6 4.370980952e-13
2.9 -2.6 8.365365924e-14
3 -2.6 1.448754437e-14
3.1 -2.6 2.266239595e-15
3.2 -2.6 3.185427989e-16

-3.2 -2.5 6.050999387e-18
-3.1 -2.5 2.286510428e-17
-3 -2.5 4.46901789e-17
-2.9 -2.5 7.046399801e-17
-2.8 -2.5 9.815705645e-17
-2.7 -2.5 1.238807366e-16
-2.6 -2.5 1.44562663e-16
-2.5 -2.5 1.652834552e-16
-2.4 -2.5 1.958938569e-16
-2.3 -2.5 2.413060641e-16
-2.2 -2.5 2.938537777e-16
-2.1 -2.5 3.454430606e-16
-2 -2.5 3.930981158e-16
-1.9 -2.5 4.336925481e-16
-1.8 -2.5 4.661002644e-16
-1.7 -2.5 4.855935488e-16
-1.6 -2.5 4.945757617e-16
-1.5 -2.5 5.009709401e-16
-1.4 -2.5 5.181421036e-16
-1.3 -2.5 5.55716496e-16
-1.2 -2.5 6.187992257e-16
-1.1 -2.5 7.094136972e-16
-1 -2.5 8.936939955e-16
-0.9 -2.5 1.619935246e-15
-0.8 -2.5 5.552174232e-15
-0.7 -2.5 2.762130273e-14
-0.6 -2.5 1.46149302e-13
-0.5 -2.5 7.3999381e-13
-0.4 -2.5 3.482923385e-12
-0.3 -2.5 1.508634953e-11
-0.2 -2.5 5.985773121e-11
-0.1 -2.5 2.169626073e-10
0 -2.5 7.171486309e-10
0.1 -2.5 2.158934032e-09
0.2 -2.5 5.913600057e-09
0.3 -2.5 1.472683374e-08
0.4 -2.5 3.332230663e-08
0.5 -2.5 6.846960272e-08
0.6 -2.5 1.277032004e-07
0.7 -2.5 2.161122314e-07
0.8 -2.5 3.317309159e-07
0.9 -2.5 4.617386044e-07
1 -2.5 5.826406573e-07
1.1 -2.5 6.663527156e-07
1.2 -2.5 6.905935089e-07
1.3 -2.5 6.48458234e-07
1.4 -2.5 5.515917353e-07
1.5 -2.5 4.249837994e-07
1.6 -2.5 2.965481476e-07
1.7 -2.5 1.873878639e-07
1.8 -2.5 1.072189256e-07
1.9 -2.5 5.55456526e-08
2 -2.5 2.605230993e-08
2.1 -2.5 1.106196825e-08
2.2 -2.5 4.251911526e-09
2.3 -2.5 1.479381258e-09
2.4 -2.5 4.659089367e-10
2.5 -2.5 1.328098268e-10
2.6 -2.5 3.426517078e-11
2.7 -2.5 8.001228211e-12
2.8 -2.5 1.690955923e-12
2.9 -2.5 3.23425566e-13
3 -2.5 5.59840734e-14
3.1 -2.5 8.765983649e-15
3.2 -2.5 1.239666782e-15

-3.2 -2.4 7.089771692e-18
-3.1 -2.4 2.533272959e-17
-3 -2.4 4.917977049e-17
-2.9 -2.4 7.685946127e-17
-2.8 -2.4 1.048318464e-16
-2.7 -2.4 1.291316107e-16
-2.6 -2.4 1.516322154e-16
-2.5 -2.4 1.817377952e-16
-2.4 -2.4 2.261146066e-16
-2.3 -2.4 2.80417157e-16
-2.2 -2.4 3.344769386e-16
-2.1 -2.4 3.836916683e-16
-2 -2.4 4.263785233e-16
-1.9 -2.4 4.594107641e-16
-1.8 -2.4 4.80234658e-16
-1.7 -2.4 4.910844139e-16
-1.6 -2.4 5.006888088e-16
-1.5 -2.4 5.255313317e-16
-1.4 -2.4 5.757430008e-16
-1.3 -2.4 6.516048633e-16
-1.2 -2.4 7.587221505e-16
-1.1 -2.4 9.639931997e-16
-1 -2.4 1.66383224e-15
-0.9 -2.4 4.976160979e-15
-0.8 -2.4 2.247069319e-14
-0.7 -2.4 1.164555533e-13
-0.6 -2.4 6.053475956e-13
-0.5 -2.4 2.999060096e-12
-0.4 -2.4 1.386113083e-11
-0.3 -2.4 5.915165379e-11
-0.2 -2.4 2.317797593e-10
-0.1 -2.4 8.311569558e-10
0 -2.4 2.72172977e-09
0.1 -2.4 8.1262821e-09
0.2 -2.4 2.209628637e-08
0.3 -2.4 5.466757662e-08
0.4 -2.4 1.229703638e-07
0.5 -2.4 2.513406455e-07
0.6 -2.4 4.665411799e-07
0.7 -2.4 7.861197565e-07
0.8 -2.4 1.20196625e-06
0.9 -2.4 1.667079286e-06
1 -2.4 2.096789673e-06
1.1 -2.4 2.39099193e-06
1.2 -2.4 2.471322752e-06
1.3 -2.4 2.31485634e-06
1.4 -2.4 1.964658175e-06
1.5 -2.4 1.510609619e-06
1.6 -2.4 1.052110463e-06
1.7 -2.4 6.636858237e-07
1.8 -2.4 3.791490819e-07
1.9 -2.4 1.961386123e-07
2 -2.4 9.187254822e-08
2.1 -2.4 3.896242878e-08
2.2 -2.4 1.495944583e-08
2.3 -2.4 5.199589391e-09
2.4 -2.4 1.636003917e-09
2.5 -2.4 4.659524625e-10
2.6 -2.4 1.201222311e-10
2.7 -2.4 2.802943434e-11
2.8 -2.4 5.919724293e-12
2.9 -2.4 1.131553244e-12
3 -2.4 1.957603044e-13
3.1 -2.4 3.064714797e-14
3.2 -2.4 4.339797781e-15

-3.2 -2.3 8.084249582e-18
-3.1 -2.3 2.791543878e-17
-3 -2.3 5.351993142e-17
-2.9 -2.3 8.237410212e-17
-2.8 -2.3 1.098782436e-16
-2.7 -2.3 1.352192435e-16
-2.6 -2.3 1.648406997e-16
-2.5 -2.3 2.061229798e-16
-2.4 -2.3 2.57700299e-16
-2.3 -2.3 3.13163152e-16
-2.2 -2.3 3.646674434e-16
-2.1 -2.3 4.104474738e-16
-2 -2.3 4.463443707e-16
-1.9 -2.3 4.690077289e-16
-1.8 -2.3 4.822119832e-16
-1.7 -2.3 4.974145939e-16
-1.6 -2.3 5.309483471e-16
-1.5 -2.3 5.924204063e-16
-1.4 -2.3 6.825331534e-16
-1.3 -2.3 8.160368472e-16
-1.2 -2.3 1.095496504e-15
-1.1 -2.3 1.972450599e-15
-1 -2.3 5.376085526e-15
-0.9 -2.3 2.04597864e-14
-0.8 -2.3 9.403765979e-14
-0.7 -2.3 4.675620012e-13
-0.6 -2.3 2.337599361e-12
-0.5 -2.3 1.124781981e-11
-0.4 -2.3 5.085049357e-11
-0.3 -2.3 2.132374634e-10
-0.2 -2.3 8.235399744e-10
-0.1 -2.3 2.916969536e-09
0 -2.3 9.450030169e-09
0.1 -2.3 2.794961184e-08
0.2 -2.3 7.536298309e-08
0.3 -2.3 1.850599089e-07
0.4 -2.3 4.13486851e-07
0.5 -2.3 8.400299965e-07
0.6 -2.3 1.550778459e-06
0.7 -2.3 2.600180786e-06
0.8 -2.3 3.957895761e-06
0.9 -2.3 5.467214157e-06
1 -2.3 6.851160086e-06
1.1 -2.3 7.786314689e-06
1.2 -2.3 8.023402661e-06
1.3 -2.3 7.494563202e-06
1.4 -2.3 6.344669202e-06
1.5 -2.3 4.867101362e-06
1.6 -2.3 3.382697194e-06
1.7 -2.3 2.129744089e-06
1.8 -2.3 1.21453565e-06
1.9 -2.3 6.272845395e-07
2 -2.3 2.933921879e-07
2.1 -2.3 1.242581766e-07
2.2 -2.3 4.764977141e-08
2.3 -2.3 1.654347301e-08
2.4 -2.3 5.199917272e-09
2.5 -2.3 1.479608517e-09
2.6 -2.3 3.811160211e-10
2.7 -2.3 8.8860609e-11
2.8 -2.3 1.875370183e-11
2.9 -2.3 3.582423317e-12
3 -2.3 6.193955117e-13
3.1 -2.3 9.692554029e-14
3.2 -2.3 1.372549853e-14

-3.2 -2.2 9.191956827e-18
-3.1 -2.2 3.035872624e-17
-3 -2.2 5.73155242e-17
-2.9 -2.2 8.661571749e-17
-2.8 -2.2 1.146938184e-16
-2.7 -2.2 1.441661982e-16
-2.6 -2.2 1.816660403e-16
-2.5 -2.2 2.30964247e-16
-2.4 -2.2 2.851695149e-16
-2.3 -2.2 3.389148765e-16
-2.2 -2.2 3.874684068e-16
-2.1 -2.2 4.269802239e-16
-2 -2.2 4.537798281e-16
-1.9 -2.2 4.706088988e-16
-1.8 -2.2 4.901908276e-16
-1.7 -2.2 5.301085354e-16
-1.6 -2.2 6.010250309e-16
-1.5 -2.2 7.101794936e-16
-1.4 -2.2 8.919107363e-16
-1.3 -2.2 1.324606431e-15
-1.2 -2.2 2.659965347e-15
-1.1 -2.2 7.161550965e-15
-1 -2.2 2.343620713e-14
-0.9 -2.2 8.878654474e-14
-0.8 -2.2 3.808961097e-13
-0.7 -2.2 1.770909189e-12
-0.6 -2.2 8.423757172e-12
-0.5 -2.2 3.912477287e-11
-0.4 -2.2 1.723267479e-10
-0.3 -2.2 7.08069754e-10
-0.2 -2.2 2.689349647e-09
-0.1 -2.2 9.391751344e-09
0 -2.2 3.005509162e-08
0.1 -2.2 8.793752561e-08
0.2 -2.2 2.348539216e-07
0.3 -2.2 5.717927774e-07
0.4 -2.2 1.267820419e-06
0.5 -2.2 2.557964782e-06
0.6 -2.2 4.692963108e-06
0.7 -2.2 7.824540726e-06
0.8 -2.2 1.184975397e-05
0.9 -2.2 1.629325468e-05
1 -2.2 2.033238527e-05
1.1 -2.2 2.302001056e-05
1.2 -2.2 2.363914998e-05
1.3 -2.2 2.201177188e-05
1.4 -2.2 1.858128622e-05
1.5 -2.2 1.421694925e-05
1.6 -2.2 9.857553768e-06
1.7 -2.2 6.192913033e-06
1.8 -2.2 3.524703362e-06
1.9 -2.2 1.817177685e-06
2 -2.2 8.485372485e-07
2.1 -2.2 3.58839214e-07
2.2 -2.2 1.374187001e-07
2.3 -2.2 4.76512612e-08
2.4 -2.2 1.496080554e-08
2.5 -2.2 4.25265621e-09
2.6 -2.2 1.094374465e-09
2.7 -2.2 2.549472439e-10
2.8 -2.2 5.37643182e-11
2.9 -2.2 1.026314873e-11
3 -2.2 1.773355193e-12
3.1 -2.2 2.773481464e-13
3.2 -2.2 3.926044176e-14

-3.2 -2.1 1.032887927e-17
-3.1 -2.1 3.282519673e-17
-3 -2.1 6.103178632e-17
-2.9 -2.1 9.114210544e-17
-2.8 -2.1 1.211613717e-16
-2.7 -2.1 1.557713946e-16
-2.6 -2.1 2.002143199e-16
-2.5 -2.1 2.52511529e-16
-2.4 -2.1 3.073208439e-16
-2.3 -2.1 3.594724249e-16
-2.2 -2.1 4.035632134e-16
-2.1 -2.1 4.351916861e-16
-2 -2.1 4.5595735e-16
-1.9 -2.1 4.787260698e-16
-1.8 -2.1 5.225191062e-16
-1.7 -2.1 6.024818341e-16
-1.6 -2.1 7.336875775e-16
